,0,1
385,wrong,38
386,return,38
387,clear,38
388,control,38
389,director,38
390,society,38
391,decided,38
392,sense,38
393,slavery,38
394,board,38
395,feature_ngram_states_,38
396,holt,38
397,moment,38
398,major,38
399,lead,38
400,father,38
401,feature_ngram_america_,38
402,able,38
403,ohio,38
404,paid,38
405,feature_ngram_north_korea,38
406,_buchanan,38
407,_hillary,37
408,_says,37
409,ms,37
410,_north,37
411,russia,37
412,feature_ngram_early_voting,37
413,course,36
414,families,36
415,best,36
416,released,36
417,brought,36
418,play,36
419,following,36
420,power,36
421,robert,36
422,sent,36
423,pennsylvania,36
424,minutes,36
425,month,36
426,thousands,36
427,popular,36
428,died,36
429,relationship,36
430,saturday,36
431,worked,36
432,rep,36
433,_september,36
434,giuliani,36
435,fox,36
436,pence,36
437,democrat,36
438,health,36
439,calling,36
440,district,36
441,needs,36
442,muslim,36
443,measure,36
444,try,36
445,feature_ngram_know_,35
446,feature_ngram_day_,35
447,feature_ngram_oct,35
448,feature_ngram_north_carolina,35
449,shares,34
450,thought,34
451,response,34
452,leave,34
453,highlights,34
454,continue,34
455,men,34
456,strong,34
457,groups,34
458,feature_ngram_african_,34
459,_american,34
460,respect,34
461,half,34
462,businesses,34
463,live,34
464,despite,34
465,plan,34
466,stand,34
467,minister,34
468,facebook,34
469,find,34
470,system,34
471,certainly,34
472,reporters,34
473,hard,34
474,china,34
475,louisiana,34
476,ap,33
477,ago,32
478,children,32
479,_like,32
480,mayor,32
481,today,32
482,check,32
483,efforts,32
484,hofstra,32
485,racial,32
486,george,32
487,ahead,32
488,list,32
489,air,32
490,threat,32
491,pic,32
492,small,32
493,reagan,32
494,largest,32
495,report,32
496,friends,32
497,gov,32
498,vice,32
499,feature_ngram_monday_,32
500,feature_ngram_trump_campaign,32
501,let,32
502,yes,32
503,normal,32
504,apparently,32
505,weapons,32
506,events,32
507,ballots,32
508,excuse,32
509,_u,32
510,ranbaxy,32
511,_people,31
512,feature_ngram_says_,31
513,feature_ngram_time_,31
514,term,31
515,low,30
516,action,30
517,adults,30
518,photos,30
519,19,30
520,25,30
521,monument,30
522,drew,30
523,began,30
524,attorney,30
525,position,30
526,building,30
527,place,30
528,union,30
529,tell,30
530,bank,30
531,wo,30
532,aide,30
533,east,30
534,words,30
535,close,30
536,possible,30
537,comes,30
538,game,30
539,paul,30
540,29,30
541,feature_ngram_obama_,30
542,feature_ngram_right_,30
543,_authors,30
544,feature_ngram_authors_,30
545,simply,30
546,language,30
547,feature_ngram_trump_said,30
548,maybe,30
549,line,30
550,crime,30
551,points,30
552,word,30
553,cole,30
554,forward,30
555,refugees,30
556,skittles,30
557,meetings,30
558,syria,30
559,terrorist,30
560,nov,30
561,miss,30
562,battleground,30
563,russian,30
564,fight,30
565,feature_ngram_korea_,30
566,sanctions,30
567,arabia,30
568,15,29
569,_debate,29
570,politico,29
571,mexico,29
572,_voters,29
573,feature_ngram_sept,29
574,_time,28
575,feature_ngram_cnn_,28
576,feature_ngram_mr,28
577,lady,28
578,release,28
579,husband,28
580,agreed,28
581,wants,28
582,current,28
583,push,28
584,owned,28
585,appeared,28
586,_year,28
587,playbook,28
588,nyti,28
589,gore,28
590,statements,28
591,working,28
592,2012,28
593,billion,28
594,coming,28
595,having,28
596,particularly,28
597,free,28
598,post,28
599,remarks,28
600,watching,28
601,feature_ngram_white_house,28
602,_democrats,28
603,feature_ngram_world_,28
604,watched,28
605,criticism,28
606,lawyer,28
607,land,28
608,pass,28
609,rules,28
610,beck,28
611,late,28
612,happened,28
613,knew,28
614,suspect,28
615,looks,28
616,walter,28
617,showing,28
618,violent,28
619,mind,28
620,featured,28
621,ballot,28
622,nato,28
623,number,28
624,advantage,28
625,joe,28
626,water,28
627,victims,28
628,allowed,28
629,child,28
630,chance,28
631,legislation,28
632,cops,28
633,total,28
634,approved,28
635,announced,28
636,profiling,28
637,korean,28
638,disabled,28
639,slave,28
640,veto,28
641,reid,28
642,feature_ngram_years_,27
643,s_,27
644,200,27
645,feature_ngram_virginia_,27
646,_http,27
647,feature_ngram_sen,27
648,_oct,27
649,citizen,27
650,realdonaldtrump,27
651,abcpolitics,27
652,true,26
653,jobs,26
654,caused,26
655,add,26
656,leading,26
657,companies,26
658,_old,26
659,committee,26
660,email,26
661,couple,26
662,felt,26
663,raised,26
664,franklin,26
665,taking,26
666,jim,26
667,commission,26
668,entire,26
669,region,26
670,rating,26
671,feature_ngram_carolina_,26
672,nbc,26
673,lester,26
674,opening,26
675,role,26
676,24,26
677,internet,26
678,actually,26
679,questions,26
680,shows,26
681,recently,26
682,reported,26
683,fund,26
684,firm,26
685,26,26
686,smith,26
687,global,26
688,feature_ngram_candidate_,26
689,_republican,26
690,feature_ngram_barack_obama,26
691,example,26
692,plans,26
693,politician,26
694,speeches,26
695,rahami,26
696,orlando,26
697,key,26
698,tv,26
699,force,26
700,terrorists,26
701,property,26
702,feature_ngram_west_virginia,26
703,lack,26
704,countries,26
705,armed,26
706,sure,26
707,german,26
708,leadership,26
709,quickly,26
710,august,26
711,fans,26
712,egypt,26
713,electoral,26
714,chai,26
715,_told,25
716,_cnn,25
717,_south,25
718,feature_ngram_night_,25
719,cuba,25
720,mail,24
721,level,24
722,killed,24
723,car,24
724,hawkins,24
725,feature_ngram_week_,24
726,failed,24
727,understand,24
728,stood,24
729,decades,24
730,based,24
731,30,24
732,street,24
733,november,24
734,boy,24
735,ways,24
736,hundreds,24
737,elected,24
738,conservative,24
739,effort,24
740,primary,24
741,_early,24
742,moderator,24
743,presidency,24
744,rate,24
745,kennedy,24
746,michigan,24
747,tonight,24
748,images,24
749,guy,24
750,prime,24
751,views,24
752,focused,24
753,ad,24
754,reporter,24
755,team,24
756,officer,24
757,lgbt,24
758,citizens,24
759,heard,24
760,nice,24
761,opponent,24
762,2000,24
763,leaning,24
764,address,24
765,communities,24
766,ties,24
767,clearly,24
768,politicians,24
769,assault,24
770,expected,24
771,latest,24
772,lawmakers,24
773,immigrants,24
774,muslims,24
775,polls,24
776,everybody,24
777,visited,24
778,feature_ngram_kallstadt_,24
779,mean,24
780,sisi,24
781,feature_ngram_south_korea,24
782,lincoln,24
783,taney,24
784,zika,24
785,dallas,24
786,16,23
787,snapchat,23
788,feature_ngram_like_,23
789,feature_ngram_scott_,23
790,50,22
791,refused,22
792,area,22
793,book,22
794,responsibility,22
795,feature_ngram_man_,22
796,private,22
797,_read,22
798,hear,22
799,music,22
800,2015,22
801,shared,22
802,attention,22
803,t_,22
804,doubt,22
805,places,22
806,southern,22
807,cities,22
808,mark,22
809,supreme,22
810,mike,22
811,approval,22
812,calls,22
813,needed,22
814,spokesman,22
815,feature_ngram_stop_,22
816,feature_ngram_charlotte_,22
817,turned,22
818,parties,22
819,biggest,22
820,battle,22
821,al,22
822,committed,22
823,idea,22
824,banks,22
825,attacked,22
826,information,22
827,constitutional,22
828,answer,22
829,palmer,22
830,anderson,22
831,heart,22
832,showed,22
833,veteran,22
834,served,22
835,outside,22
836,false,22
837,offered,22
838,industry,22
839,talked,22
840,body,22
841,turn,22
842,affairs,22
843,kingdom,22
844,fellow,22
845,human,22
846,included,22
847,mccrory,22
848,_bush,22
849,feature_ngram_republican_nominee,22
850,speak,22
851,open,22
852,feature_ngram_anti_,22
853,choice,22
854,reason,22
855,carter,22
856,cuomo,22
857,cast,22
858,tough,22
859,exactly,22
860,viewers,22
861,experience,22
862,self,22
863,continuing,22
864,faces,22
865,author,22
866,repeatedly,22
867,criminal,22
868,central,22
869,allies,22
870,difficult,22
871,accused,22
872,staff,22
873,eventually,22
874,college,22
875,fire,22
876,nations,22
877,serve,22
878,investigation,22
879,feature_ngram_law_enforcement,22
880,tweet,22
881,comment,22
882,opinion,22
883,rest,22
884,injured,22
885,starting,22
886,bomb,22
887,concert,22
888,citizenship,22
889,_friedrich,22
890,aleppo,22
891,abe,22
892,machado,22
893,feature_ngram_fact_,21
894,_americans,21
895,minute,21
896,feature_ngram_presidential_debate,21
897,_3,21
898,_want,21
899,feature_ngram_secretary_state,21
900,_going,21
901,feature_ngram_justice_,21
902,feature_ngram_million_,21
903,feature_ngram_way_,21
904,higher,20
905,crimes,20
906,owner,20
907,benefit,20
908,agenda,20
909,argued,20
910,previous,20
911,provide,20
912,consider,20
913,loved,20
914,final,20
915,capitol,20
916,offensive,20
917,successful,20
918,border,20
919,prevent,20
920,individual,20
921,movement,20
922,troops,20
923,ground,20
924,controversial,20
925,discussed,20
926,adding,20
927,letter,20
928,knows,20
929,happy,20
930,traditional,20
931,opposed,20
932,moments,20
933,winner,20
934,ford,20
935,television,20
936,ideas,20
937,trade,20
938,facts,20
939,truth,20
940,student,20
941,aides,20
942,wins,20
943,arizona,20
944,ted,20
945,dollars,20
946,future,20
947,ask,20
948,peace,20
949,hours,20
950,dangerous,20
951,july,20
952,critical,20
953,financial,20
954,helped,20
955,works,20
956,partner,20
957,annual,20
958,speaker,20
959,mccain,20
960,feature_ngram_added_,20
961,_1,20
962,feature_ngram_election_,20
963,_long,20
964,_d,20
965,candy,20
966,terror,20
967,iraq,20
968,saw,20
969,energy,20
970,sources,20
971,pressure,20
972,warning,20
973,ally,20
974,hand,20
975,step,20
976,treated,20
977,khan,20
978,probably,20
979,contrast,20
980,proposals,20
981,focus,20
982,chelsea,20
983,27,20
984,johnson,20
985,personally,20
986,split,20
987,ended,20
988,charged,20
989,policies,20
990,sort,20
991,_justice,20
992,presidents,20
993,claim,20
994,islamic,20
995,trust,20
996,gas,20
997,moved,20
998,wounded,20
999,protect,20
